Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-18,1,182
Worcestershire,E10000034,Upper tier local authority,2020-04-18,0,845
Wolverhampton,E08000031,Upper tier local authority,2020-04-18,0,558
Wokingham,E06000041,Upper tier local authority,2020-04-18,0,231
Wirral,E08000015,Upper tier local authority,2020-04-18,0,762
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-18,0,182
Wiltshire,E06000054,Upper tier local authority,2020-04-18,0,337
Wigan,E08000010,Upper tier local authority,2020-04-18,0,416
Westminster,E09000033,Upper tier local authority,2020-04-18,0,551
West Sussex,E10000032,Upper tier local authority,2020-04-18,0,820
West Berkshire,E06000037,Upper tier local authority,2020-04-18,1,202
Warwickshire,E10000031,Upper tier local authority,2020-04-18,0,805
Warrington,E06000007,Upper tier local authority,2020-04-18,0,437
Wandsworth,E09000032,Upper tier local authority,2020-04-18,0,830
Waltham Forest,E09000031,Upper tier local authority,2020-04-18,0,631
Walsall,E08000030,Upper tier local authority,2020-04-18,0,665
Wakefield,E08000036,Upper tier local authority,2020-04-18,0,392
Trafford,E08000009,Upper tier local authority,2020-04-18,1,454
Tower Hamlets,E09000030,Upper tier local authority,2020-04-18,0,548
Torbay,E06000027,Upper tier local authority,2020-04-18,0,123
Thurrock,E06000034,Upper tier local authority,2020-04-18,0,218
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-18,0,159
Tameside,E08000008,Upper tier local authority,2020-04-18,0,365
Swindon,E06000030,Upper tier local authority,2020-04-18,0,259
Sutton,E09000029,Upper tier local authority,2020-04-18,0,574
Surrey,E10000030,Upper tier local authority,2020-04-18,0,1941
Sunderland,E08000024,Upper tier local authority,2020-04-18,6,869
Suffolk,E10000029,Upper tier local authority,2020-04-18,0,618
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-18,3,281
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-18,0,233
Stockport,E08000007,Upper tier local authority,2020-04-18,2,619
Staffordshire,E10000028,Upper tier local authority,2020-04-18,7,1202
St. Helens,E08000013,Upper tier local authority,2020-04-18,0,457
Southwark,E09000028,Upper tier local authority,2020-04-18,0,1075
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-18,0,251
Southampton,E06000045,Upper tier local authority,2020-04-18,8,353
South Tyneside,E08000023,Upper tier local authority,2020-04-18,4,345
South Gloucestershire,E06000025,Upper tier local authority,2020-04-18,2,263
Somerset,E10000027,Upper tier local authority,2020-04-18,0,345
Solihull,E08000029,Upper tier local authority,2020-04-18,0,422
Slough,E06000039,Upper tier local authority,2020-04-18,0,295
Shropshire,E06000051,Upper tier local authority,2020-04-18,0,314
Sheffield,E08000019,Upper tier local authority,2020-04-18,15,1598
Sefton,E08000014,Upper tier local authority,2020-04-18,0,636
Sandwell,E08000028,Upper tier local authority,2020-04-18,0,735
Salford,E08000006,Upper tier local authority,2020-04-18,0,445
Rutland,E06000017,Upper tier local authority,2020-04-18,0,12
Rotherham,E08000018,Upper tier local authority,2020-04-18,5,478
Rochdale,E08000005,Upper tier local authority,2020-04-18,0,318
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-18,0,325
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-18,0,212
Redbridge,E09000026,Upper tier local authority,2020-04-18,0,589
Reading,E06000038,Upper tier local authority,2020-04-18,0,307
Portsmouth,E06000044,Upper tier local authority,2020-04-18,0,232
Plymouth,E06000026,Upper tier local authority,2020-04-18,1,199
Peterborough,E06000031,Upper tier local authority,2020-04-18,0,136
Oxfordshire,E10000025,Upper tier local authority,2020-04-18,0,1158
Oldham,E08000004,Upper tier local authority,2020-04-18,1,445
Nottinghamshire,E10000024,Upper tier local authority,2020-04-18,0,853
