Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-02,54,0,54,124861,122842,2019
South West,E12000009,Region,2020-05-02,6,,,6489,,
South East,E12000008,Region,2020-05-02,12,,,17537,,
London,E12000007,Region,2020-05-02,2,,,24828,,
East of England,E12000006,Region,2020-05-02,1,,,10943,,
West Midlands,E12000005,Region,2020-05-02,6,,,13577,,
East Midlands,E12000004,Region,2020-05-02,2,,,7075,,
Yorkshire and The Humber,E12000003,Region,2020-05-02,17,,,10803,,
North West,E12000002,Region,2020-05-02,3,,,20125,,
North East,E12000001,Region,2020-05-02,5,,,8164,,
Worcestershire,E10000034,Upper tier local authority,2020-05-02,0,,,1164,,
West Sussex,E10000032,Upper tier local authority,2020-05-02,0,,,1172,,
Warwickshire,E10000031,Upper tier local authority,2020-05-02,0,,,1202,,
Surrey,E10000030,Upper tier local authority,2020-05-02,0,,,2608,,
Suffolk,E10000029,Upper tier local authority,2020-05-02,0,,,1105,,
Staffordshire,E10000028,Upper tier local authority,2020-05-02,2,,,1787,,
Somerset,E10000027,Upper tier local authority,2020-05-02,0,,,518,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-02,0,,,1583,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-02,1,,,1148,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-02,0,,,997,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-02,0,,,1056,,
Norfolk,E10000020,Upper tier local authority,2020-05-02,1,,,1626,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-02,0,,,870,,
Leicestershire,E10000018,Upper tier local authority,2020-05-02,0,,,948,,
Lancashire,E10000017,Upper tier local authority,2020-05-02,0,,,2878,,
Kent,E10000016,Upper tier local authority,2020-05-02,0,,,3418,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-02,0,,,2341,,
Hampshire,E10000014,Upper tier local authority,2020-05-02,8,,,2861,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-02,0,,,1231,,
Essex,E10000012,Upper tier local authority,2020-05-02,0,,,2650,,
East Sussex,E10000011,Upper tier local authority,2020-05-02,1,,,593,,
Devon,E10000008,Upper tier local authority,2020-05-02,0,,,727,,
Derbyshire,E10000007,Upper tier local authority,2020-05-02,0,,,1320,,
Cumbria,E10000006,Upper tier local authority,2020-05-02,0,,,1954,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-02,0,,,795,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-02,0,,,838,,
Westminster,E09000033,Upper tier local authority,2020-05-02,0,,,605,,
Wandsworth,E09000032,Upper tier local authority,2020-05-02,0,,,928,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-02,0,,,730,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-02,1,,,601,,
Sutton,E09000029,Upper tier local authority,2020-05-02,0,,,673,,
Southwark,E09000028,Upper tier local authority,2020-05-02,0,,,1209,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-02,0,,,381,,
Redbridge,E09000026,Upper tier local authority,2020-05-02,0,,,683,,
Newham,E09000025,Upper tier local authority,2020-05-02,0,,,955,,
Merton,E09000024,Upper tier local authority,2020-05-02,0,,,654,,
Lewisham,E09000023,Upper tier local authority,2020-05-02,0,,,927,,
Lambeth,E09000022,Upper tier local authority,2020-05-02,0,,,1143,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-02,0,,,451,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-02,0,,,462,,
Islington,E09000019,Upper tier local authority,2020-05-02,0,,,417,,
Hounslow,E09000018,Upper tier local authority,2020-05-02,0,,,655,,
Hillingdon,E09000017,Upper tier local authority,2020-05-02,0,,,729,,
Havering,E09000016,Upper tier local authority,2020-05-02,0,,,637,,
Harrow,E09000015,Upper tier local authority,2020-05-02,0,,,939,,
Haringey,E09000014,Upper tier local authority,2020-05-02,0,,,549,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-02,0,,,610,,
Hackney,E09000012,Upper tier local authority,2020-05-02,0,,,609,,
Greenwich,E09000011,Upper tier local authority,2020-05-02,0,,,640,,
Enfield,E09000010,Upper tier local authority,2020-05-02,0,,,838,,
Ealing,E09000009,Upper tier local authority,2020-05-02,0,,,1070,,
Croydon,E09000008,Upper tier local authority,2020-05-02,0,,,1388,,
Camden,E09000007,Upper tier local authority,2020-05-02,0,,,582,,
Bromley,E09000006,Upper tier local authority,2020-05-02,0,,,1086,,
Brent,E09000005,Upper tier local authority,2020-05-02,0,,,1355,,
Bexley,E09000004,Upper tier local authority,2020-05-02,1,,,634,,
Barnet,E09000003,Upper tier local authority,2020-05-02,0,,,1214,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-02,0,,,458,,
City of London,E09000001,Upper tier local authority,2020-05-02,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-02,3,,,875,,
Wakefield,E08000036,Upper tier local authority,2020-05-02,5,,,554,,
Leeds,E08000035,Upper tier local authority,2020-05-02,3,,,1463,,
Kirklees,E08000034,Upper tier local authority,2020-05-02,3,,,578,,
Calderdale,E08000033,Upper tier local authority,2020-05-02,0,,,252,,
Bradford,E08000032,Upper tier local authority,2020-05-02,1,,,947,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-02,0,,,856,,
Walsall,E08000030,Upper tier local authority,2020-05-02,0,,,990,,
Solihull,E08000029,Upper tier local authority,2020-05-02,0,,,578,,
Sandwell,E08000028,Upper tier local authority,2020-05-02,0,,,1026,,
Dudley,E08000027,Upper tier local authority,2020-05-02,0,,,785,,
Coventry,E08000026,Upper tier local authority,2020-05-02,0,,,674,,
Birmingham,E08000025,Upper tier local authority,2020-05-02,0,,,2904,,
Sunderland,E08000024,Upper tier local authority,2020-05-02,2,,,1206,,
South Tyneside,E08000023,Upper tier local authority,2020-05-02,0,,,595,,
North Tyneside,E08000022,Upper tier local authority,2020-05-02,0,,,489,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-02,0,,,939,,
Sheffield,E08000019,Upper tier local authority,2020-05-02,2,,,2191,,
Rotherham,E08000018,Upper tier local authority,2020-05-02,0,,,736,,
Doncaster,E08000017,Upper tier local authority,2020-05-02,0,,,494,,
Barnsley,E08000016,Upper tier local authority,2020-05-02,1,,,678,,
Wirral,E08000015,Upper tier local authority,2020-05-02,1,,,1029,,
Sefton,E08000014,Upper tier local authority,2020-05-02,0,,,829,,
St. Helens,E08000013,Upper tier local authority,2020-05-02,0,,,660,,
